"id","question","answer","correct","time","coins","quiz_id","created_at","updated_at"
"399","Who was the first Indian woman in space ?","[""Sunita Williams"",""P.T Usha"",""Kalpana Chawla"",""None""]","Kalpana Chawla","0","150.00","9","2024-05-06 11:11:55","2024-05-08 10:14:24"
"400","Mrs Bector is associated with which of the following?","[""Parle"",""Mother Dairy"",""Britannia"",""Cremica""]","Cremica","0","100.00","9","2024-05-06 11:11:55","2024-05-07 18:00:57"
"401","Who was the first female teacher in India?","[""Sarojini Naidu"",""Mother Teresa"",""Pandita Ramabai"",""Savitribai Phule""]","Savitribai Phule","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"402","Who is known as the ''Nightingale of India''?","[""Sarojini Naidu"",""Mother Teresa"",""Pandita Ramabai"",""Savitribai Phule""]","Sarojini Naidu","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"403","Who was the first Indian woman to fly an aircraft?","[""Asima Chatterjee"",""Sarla Thakral"",""Anandibai Joshi"",""Kalpana Chawla""]","Sarla Thakral","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"404","Who was the first woman from India to climb Mount Everest?","[""Sunita Williams"",""Bachendri Pal"",""Sucheta Kriplani"",""Sarojini Naidu""]","Bachendri Pal","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"405","Who was the first female IPS officer in India?","[""Nirmala Sitaraman"",""Kiran Bedi"",""Mother Teresa"",""Amrit Kaur""]","Kiran Bedi","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"406","Who was the first woman speaker of Lok Sabha?","[""Shanno Devi"",""Meira Kumar"",""Smriti Irani"",""Annie Besant""]","Meira Kumar","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"407","Who was the first ever Miss Universe from India?","[""Sushmita Sen"",""Rita Faria"",""Lara Dutta"",""Harnaz Sandhu""]","Sushmita Sen","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"408","Who was the first Indian woman to become the President of the General Assembly?","[""Annie Besant"",""Sarojini Naidu"",""Vijay Lakshmi"",""Arundhati Roy""]","Vijay Lakshmi","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
